actuacion;Identificador_pregunta;1;2;3;4;5;prom;sum;nivel
Conexion;y1;15,0;62,0;0,0;49,0;13,0;2,8776978417266186;139,0;yo
Equilibrio;y2;12,0;65,0;0,0;41,0;21,0;2,9568345323741005;139,0;yo
Proposito;y3;37,0;24,0;0,0;17,0;61,0;3,2949640287769784;139,0;yo
Orgullo (eNps);y4;11,0;74,0;0,0;19,0;35,0;2,949640287769784;139,0;yo
Pedir ayuda;y5;1,0;87,0;0,0;10,0;41,0;3,0215827338129495;139,0;yo
Contribucion;y6;37,0;32,0;0,0;26,0;44,0;3,0575539568345325;139,0;yo
Retroalimentacion;y7;35,0;36,0;0,0;19,0;49,0;3,079136690647482;139,0;yo
Reconocimiento;y8;15,0;16,0;0,0;21,0;87,0;4,071942446043166;139,0;yo
Liderazgo y trabajo en equipo;y10;20,0;29,0;0,0;59,0;31,0;3,3741007194244603;139,0;yo
Rituales;y11;5,0;68,0;0,0;19,0;47,0;3,2517985611510793;139,0;yo
Comunicacion;y12;17,0;5,0;0,0;57,0;60,0;3,9928057553956835;139,0;yo
Conversaciones;y14;6,0;25,0;0,0;92,0;16,0;3,6258992805755397;139,0;yo
Entorno saludable;y15;0,0;12,0;0,0;95,0;32,0;4,057553956834532;139,0;yo
Innovacion;y17;30,0;28,0;0,0;67,0;14,0;3,050359712230216;139,0;yo
Adaptabilidad;y19;13,0;3,0;0,0;14,0;109,0;4,460431654676259;139,0;yo
Toma de decisiones;y20;36,0;25,0;0,0;10,0;68,0;3,352517985611511;139,0;yo
Empoderamiento;y22;7,0;32,0;0,0;52,0;48,0;3,7338129496402876;139,0;yo
Relaciones;y23;15,0;22,0;0,0;67,0;35,0;3,6115107913669067;139,0;yo
Superar metas;y26;44,0;4,0;0,0;3,0;88,0;3,6258992805755397;139,0;yo
Conexion;n27;2,0;7,0;55,0;43,0;32,0;3,6906474820143886;139,0;nosotros 1
Equilibrio;n28;6,0;23,0;40,0;35,0;35,0;3,5035971223021583;139,0;nosotros 1
Proposito;n29;31,0;20,0;53,0;17,0;18,0;2,79136690647482;139,0;nosotros 1
Orgullo (eNps);n30;16,0;5,0;36,0;18,0;64,0;3,7841726618705036;139,0;nosotros 1
Pedir ayuda;n31;13,0;11,0;32,0;35,0;48,0;3,676258992805755;139,0;nosotros 1
Contribucion;n32;1,0;6,0;32,0;46,0;54,0;4,0503597122302155;139,0;nosotros 1
Retroalimentacion;n33;16,0;9,0;35,0;36,0;43,0;3,58273381294964;139,0;nosotros 1
Reconocimiento;n34;43,0;30,0;41,0;13,0;12,0;2,431654676258993;139,0;nosotros 1
Liderazgo y trabajo en equipo;n36;8,0;13,0;30,0;45,0;43,0;3,7338129496402876;139,0;nosotros 1
Rituales;n37;11,0;13,0;40,0;32,0;43,0;3,597122302158273;139,0;nosotros 1
Comunicacion;n38;7,0;5,0;22,0;30,0;75,0;4,158273381294964;139,0;nosotros 1
Conversaciones;n40;66,0;33,0;26,0;10,0;4,0;1,9424460431654675;139,0;nosotros 1
Entorno saludable;n41;3,0;4,0;30,0;45,0;57,0;4,071942446043166;139,0;nosotros 1
Innovacion;n43;10,0;12,0;36,0;43,0;38,0;3,6258992805755397;139,0;nosotros 1
Adaptabilidad;n45;0,0;8,0;40,0;49,0;42,0;3,8992805755395685;139,0;nosotros 1
Toma de decisiones;n46;10,0;9,0;21,0;35,0;64,0;3,964028776978417;139,0;nosotros 1
Empoderamiento;n48;8,0;19,0;32,0;42,0;38,0;3,597122302158273;139,0;nosotros 1
Relaciones;n49;0,0;6,0;23,0;33,0;77,0;4,302158273381295;139,0;nosotros 1
Superar metas;n52;12,0;14,0;46,0;34,0;33,0;3,446043165467626;139,0;nosotros 1
Conexion;n53;7,0;12,0;37,0;39,0;44,0;3,726618705035971;139,0;nosotros 2
Equilibrio;n54;6,0;8,0;20,0;49,0;56,0;4,014388489208633;139,0;nosotros 2
Proposito;n55;21,0;15,0;40,0;31,0;32,0;3,273381294964029;139,0;nosotros 2
Orgullo (eNps);n56;1,0;0,0;13,0;19,0;106,0;4,64748201438849;139,0;nosotros 2
Pedir ayuda;n57;1,0;4,0;29,0;58,0;47,0;4,0503597122302155;139,0;nosotros 2
Contribucion;n58;2,0;4,0;24,0;52,0;57,0;4,136690647482014;139,0;nosotros 2
Retroalimentacion;n59;4,0;13,0;43,0;47,0;32,0;3,647482014388489;139,0;nosotros 2
Reconocimiento;n60;2,0;8,0;35,0;47,0;47,0;3,9280575539568345;139,0;nosotros 2
Liderazgo y trabajo en equipo;n62;56,0;37,0;31,0;8,0;7,0;2,0863309352517985;139,0;nosotros 2
Rituales;n63;6,0;19,0;33,0;35,0;46,0;3,6906474820143886;139,0;nosotros 2
Comunicacion;n64;3,0;4,0;36,0;44,0;52,0;3,9928057553956835;139,0;nosotros 2
Conversaciones;n66;8,0;26,0;34,0;21,0;50,0;3,568345323741007;139,0;nosotros 2
Entorno saludable;n67;48,0;8,0;29,0;33,0;21,0;2,79136690647482;139,0;nosotros 2
Innovacion;n69;3,0;5,0;30,0;12,0;89,0;4,287769784172662;139,0;nosotros 2
Adaptabilidad;n71;8,0;17,0;56,0;48,0;10,0;3,2517985611510793;139,0;nosotros 2
Toma de decisiones;n72;3,0;7,0;36,0;50,0;43,0;3,884892086330935;139,0;nosotros 2
Empoderamiento;n74;4,0;13,0;31,0;37,0;54,0;3,8920863309352516;139,0;nosotros 2
Relaciones;n75;14,0;2,0;29,0;24,0;70,0;3,964028776978417;139,0;nosotros 2
Superar metas;n78;0,0;1,0;32,0;56,0;50,0;4,115107913669065;139,0;nosotros 2
Conexion;t79;67,0;50,0;17,0;3,0;2,0;1,7266187050359711;139,0;todos 1
Equilibrio;t80;9,0;16,0;39,0;39,0;36,0;3,553956834532374;139,0;todos 1
Proposito;t81;0,0;8,0;26,0;46,0;59,0;4,122302158273381;139,0;todos 1
Orgullo (eNps);t82;0,0;1,0;11,0;30,0;97,0;4,60431654676259;139,0;todos 1
Pedir ayuda;t83;1,0;2,0;19,0;45,0;72,0;4,330935251798561;139,0;todos 1
Contribucion;t84;0,0;7,0;32,0;56,0;44,0;3,985611510791367;139,0;todos 1
Retroalimentacion;t85;1,0;14,0;44,0;39,0;41,0;3,7553956834532376;139,0;todos 1
Reconocimiento;t86;9,0;10,0;49,0;39,0;32,0;3,539568345323741;139,0;todos 1
Liderazgo y trabajo en equipo;t88;3,0;10,0;22,0;40,0;64,0;4,093525179856115;139,0;todos 1
Rituales;t89;1,0;14,0;27,0;34,0;63,0;4,0359712230215825;139,0;todos 1
Comunicacion;t90;3,0;15,0;38,0;44,0;39,0;3,726618705035971;139,0;todos 1
Conversaciones;t92;2,0;11,0;46,0;50,0;30,0;3,683453237410072;139,0;todos 1
Entorno saludable;t93;1,0;13,0;39,0;39,0;47,0;3,8489208633093526;139,0;todos 1
Innovacion;t95;3,0;3,0;35,0;34,0;64,0;4,100719424460432;139,0;todos 1
Adaptabilidad;t97;2,0;9,0;36,0;49,0;43,0;3,8776978417266186;139,0;todos 1
Toma de decisiones;t98;3,0;6,0;38,0;51,0;41,0;3,870503597122302;139,0;todos 1
Empoderamiento;t100;10,0;20,0;40,0;34,0;35,0;3,460431654676259;139,0;todos 1
Relaciones;t101;7,0;15,0;37,0;32,0;48,0;3,712230215827338;139,0;todos 1
Superar metas;t104;39,0;54,0;42,0;4,0;0,0;2,079136690647482;139,0;todos 1
Conexion;t105;1,0;6,0;19,0;38,0;75,0;4,294964028776978;139,0;todos 2
Equilibrio;t106;4,0;16,0;39,0;60,0;20,0;3,5467625899280577;139,0;todos 2
Proposito;t107;5,0;15,0;46,0;52,0;21,0;3,4964028776978417;139,0;todos 2
Orgullo (eNps);t108;2,0;2,0;10,0;25,0;100,0;4,575539568345324;139,0;todos 2
Pedir ayuda;t109;6,0;9,0;17,0;12,0;95,0;4,302158273381295;139,0;todos 2
Contribucion;t110;1,0;6,0;32,0;50,0;50,0;4,0215827338129495;139,0;todos 2
Retroalimentacion;t111;7,0;28,0;52,0;11,0;41,0;3,366906474820144;139,0;todos 2
Reconocimiento;t112;16,0;42,0;40,0;14,0;27,0;2,9568345323741005;139,0;todos 2
Liderazgo y trabajo en equipo;t114;5,0;2,0;27,0;51,0;54,0;4,057553956834532;139,0;todos 2
Rituales;t115;13,0;17,0;40,0;32,0;37,0;3,4532374100719423;139,0;todos 2
Comunicacion;t116;2,0;9,0;23,0;9,0;96,0;4,35251798561151;139,0;todos 2
Conversaciones;t118;3,0;16,0;24,0;23,0;73,0;4,057553956834532;139,0;todos 2
Entorno saludable;t119;2,0;4,0;26,0;51,0;56,0;4,115107913669065;139,0;todos 2
Innovacion;t121;8,0;13,0;16,0;15,0;87,0;4,151079136690647;139,0;todos 2
Adaptabilidad;t123;3,0;9,0;23,0;19,0;85,0;4,251798561151079;139,0;todos 2
Toma de decisiones;t124;0,0;4,0;8,0;19,0;108,0;4,661870503597123;139,0;todos 2
Empoderamiento;t126;0,0;6,0;32,0;53,0;48,0;4,028776978417266;139,0;todos 2
Relaciones;t127;0,0;2,0;21,0;46,0;70,0;4,323741007194244;139,0;todos 2
Superar metas;t130;0,0;1,0;22,0;46,0;70,0;4,330935251798561;139,0;todos 2
